"","Dyad","Intimacy Mean.di","Listening Mean.di","Listening Delta.di","Listening Product.di","Listening SquaresMean.di"
"221","807_3",0.287,0.475,0.083,16.502,0.227
"222","807_4",-1.994,-2.025,0.417,2.398,4.144
"223","807_5",0.256,0.819,0.875,19.224,0.862
"224","807_6",0.475,-0.306,0.875,10.575,0.285
"225","807_7",0.162,-0.556,2.208,7.969,1.529
"226","807_8",-1.494,0.694,0.208,18.318,0.492
"227","807_9",-0.244,-0.588,1.583,8.373,0.972
"228","807_10",-2.213,-0.588,2.667,7.222,2.123
"229","807_11",0.756,0.162,0.333,14.035,0.054
"230","807_12",0.631,0.756,0.292,18.847,0.593
"231","807_13",2.569,1.412,2,24,2.995
"232","807_14",-0.806,-0.744,1.458,7.555,1.085
"233","807_15",0.162,-0.244,1.042,10.909,0.331
"234","808_1",2.625,2.354,1.85,34.448,6.398
"235","808_2",-2.208,-1.354,0.7,4.865,1.956
"236","808_3",-0.333,-1.479,2.35,3.064,3.569
"237","808_4",-0.083,0.479,0.2,16.528,0.24
"238","808_5",-0.958,-0.063,0.65,12.32,0.11
"239","808_6",-1.083,-0.938,5.3,0,7.901
"240","808_7",-0.583,-1.354,2.8,3.028,3.794
"241","808_8",1.958,1.479,2.3,24.349,3.51
"242","808_9",1.208,-0.063,2.35,11.045,1.385
"243","808_10",-0.542,0.937,0.65,20.37,0.985
"244","830_1",-0.021,-0.167,0.9,11.5,0.23
"245","830_2",0.396,0.167,1.1,13.791,0.33
"246","830_3",-0.437,-0.375,0.65,10.215,0.246
"247","830_4",0.063,0.375,1.35,15.246,0.596
"248","830_5",0.396,0.875,2.45,18.413,2.266
"249","830_6",-0.187,-0.292,0.55,10.787,0.161
"250","830_7",-0.187,-0.417,1,9.804,0.424
"251","830_8",-0.146,-0.208,1.75,10.653,0.809
"252","830_9",-0.646,-0.833,1.8,6.775,1.504
"253","830_10",0.771,0.875,0.55,19.838,0.841
"254","871_1",0.146,0.542,0.45,16.999,0.344
"255","871_2",1.437,1.083,0.6,21.727,1.264
"256","871_3",-0.813,-0.375,0.25,10.305,0.156
"257","871_4",-0.771,-1.25,1.3,5.041,1.985
"258","871_5",-1.604,-1.458,2.85,2.503,4.157
"259","871_6",-0.979,-1.042,2.05,5.431,2.136
"260","871_7",2.437,1.958,1.25,30.366,4.226
"261","871_8",1.812,1.25,3.6,20.161,4.803
"262","871_9",-1.646,-0.875,1.35,6.902,1.221
"263","871_10",-0.021,0.167,1.3,13.671,0.45
