"","Dyad","Intimacy Mean.di","Listening Mean.di","Listening Delta.di","Listening Product.di","Listening SquaresMean.di"
"98","603_10",0.269,0.344,0.642,13.104,0.221
"99","604_1",0.142,0.287,2.809,10.822,2.054
"100","604_2",0.047,0.172,1.892,11.093,0.924
"101","604_3",-0.19,-0.459,0.917,7.808,0.421
"102","604_4",-0.19,-0.459,1.032,7.752,0.476
"103","604_5",0.047,0.172,1.777,11.198,0.819
"104","604_6",0.142,0.287,0.86,12.609,0.267
"105","607_1",0.316,0.363,0.516,13.28,0.198
"106","607_2",-0.585,-0.554,0.745,7.348,0.446
"107","607_3",0.269,0.191,1.261,11.722,0.434
"108","607_4",0.269,0.191,0.229,12.107,0.05
"109","607_5",-0.585,-0.554,0.287,7.466,0.328
"110","607_6",0.316,0.363,0.974,13.109,0.369
"111","611_1",-0.522,-0.229,1.49,8.814,0.608
"112","611_2",0.285,0.115,2.064,10.529,1.078
"113","611_3",0.237,0.115,0.573,11.511,0.095
"114","611_4",0.237,0.115,0.803,11.433,0.174
"115","611_5",0.285,0.115,0.688,11.475,0.131
"116","611_6",-0.522,-0.229,1.261,8.972,0.45
"117","620_1",-0.917,-0.86,0.55,5.831,0.815
"118","620_2",-0.253,-0.516,0.138,7.692,0.271
"119","620_3",2.561,2.159,0.78,29.544,4.814
"120","620_4",-1.391,-0.783,0.092,6.282,0.616
"121","620_5",0.98,1.089,0.963,18.947,1.418
"122","620_6",-0.854,-0.592,0.046,7.278,0.351
"123","620_7",0.79,0.363,0.459,13.294,0.184
"124","620_8",-1.518,-1.28,0.688,3.922,1.757
"125","620_9",0.79,0.707,0.413,15.935,0.542
"126","620_10",-0.19,-0.287,0.046,9.022,0.083
"127","631_1",0.98,0.459,0.688,13.936,0.329
"128","631_2",0.032,-0.344,0.115,8.678,0.122
"129","631_3",-1.012,-0.115,0.573,10.003,0.095
"130","631_4",-1.012,-0.115,0.344,10.055,0.043
"131","631_5",0.032,-0.344,1.032,8.415,0.384
"132","631_6",0.98,0.459,0.459,14.001,0.263
"133","645_1",1.679,0.55,1.07,14.464,0.589
"134","645_2",-0.194,-0.195,1.07,9.295,0.324
"135","645_3",-0.716,-0.768,0.841,6.185,0.767
"136","645_4",-0.764,-0.453,0.497,7.989,0.267
"137","645_5",-0.005,0.866,1.796,16.465,1.556
"138","645_6",1.465,1.41,0.459,22.041,2.041
"139","645_7",-0.479,-0.195,0.764,9.435,0.184
"140","645_8",-1.19,-1.141,0.115,4.617,1.305
"141","645_9",-1.475,-0.625,1.49,6.549,0.946
"142","645_10",-0.171,0.436,0.153,13.877,0.196
"143","645_11",-0.787,-0.51,1.032,7.463,0.526
"144","645_12",-0.313,-1.141,2.408,3.172,2.75
"145","645_13",1.157,0.866,0.268,17.253,0.767
"146","645_14",0.209,-0.338,1.185,8.364,0.465
"147","645_15",1.584,1.238,0.917,20.296,1.743
"148","658_1",-0.375,-0.848,0.306,5.94,0.743
"149","658_2",-0.114,-0.533,2.102,6.498,1.389
"150","658_3",-0.398,-0.418,1.185,7.897,0.526
"151","658_4",2.258,1.645,2.178,23.172,3.893
"152","658_5",-1.371,0.155,0.955,11.64,0.252
"153","658_6",0.384,0.785,0.65,16.505,0.722
"154","658_7",0.764,0.9,0.344,17.529,0.839
"155","658_8",-1.797,-1.278,0.191,4.039,1.643
"156","658_9",1.024,0.441,0.191,13.916,0.204
"157","658_10",-0.398,-0.39,1.07,8.127,0.438
"158","658_11",-0.968,-0.848,1.452,5.436,1.247
"159","658_12",1.096,0.986,0.229,18.273,0.985
"160","658_13",0.645,0.986,1.299,17.864,1.394
"161","658_14",-0.612,-1.078,1.758,4.123,1.934
"162","658_15",-0.138,-0.504,0.382,7.724,0.291
"163","680_1",0.743,0.516,0.287,14.466,0.287
"164","680_2",-0.016,-0.287,0.057,9.021,0.083
"165","680_3",-0.727,-0.229,0.344,9.34,0.082
"166","680_4",-0.727,-0.229,0.688,9.251,0.171
"167","680_5",-0.016,-0.287,0.401,8.982,0.122
"168","680_6",0.743,0.516,0.745,14.348,0.405
"169","690_1",-0.379,-0.382,1.72,7.718,0.885
"170","690_2",-0.379,-0.554,0.172,7.479,0.314
"171","690_3",0.759,0.936,1.548,17.265,1.475
"172","690_4",0.759,0.936,1.089,17.567,1.173
"173","690_5",-0.379,-0.554,0.631,7.387,0.406
"174","690_6",-0.379,-0.382,0.917,8.247,0.356
"175","699_1",-0.379,0.344,0.115,13.204,0.122
"176","699_2",1.423,0.401,0.401,13.587,0.201
"177","699_3",-1.043,-0.745,0.287,6.457,0.576
"178","699_4",-1.043,-0.745,0.631,6.378,0.655
"179","699_5",1.423,0.401,0.516,13.561,0.228
"180","699_6",-0.379,0.344,0.229,13.194,0.131
"181","731_1",-0.664,-0.516,0.86,7.512,0.451
"182","731_2",0.569,1.605,1.032,23.698,2.842
"183","731_3",0.095,-1.089,0.172,4.838,1.194
"184","731_4",0.095,-1.089,1.089,4.549,1.483
"185","731_5",0.569,1.605,0.229,23.951,2.589
"186","731_6",-0.664,-0.516,0.057,7.696,0.267
"187","803_1",2.403,1.987,2.522,26.261,5.539
"188","803_2",-0.506,-0.497,2.018,6.786,1.265
"189","803_3",-1.043,-0.955,0.092,5.45,0.915
"190","803_4",-0.854,-0.535,0.596,7.503,0.375
"191","803_5",-1.676,-0.917,1.88,4.748,1.725
"192","803_6",-0.506,-0.459,0.78,7.867,0.362
"193","803_7",-0.221,-0.611,0.138,7.171,0.379
"194","803_8",1.328,0.841,0.871,16.875,0.897
"195","803_9",0.854,0.573,0.734,14.792,0.463
"196","803_10",0.221,0.573,0,14.927,0.329
"197","804_1",-0.996,-1.223,0.803,4.113,1.656
"198","804_2",0.047,0.497,0.115,14.339,0.25
"199","804_3",0.949,0.726,0.917,15.921,0.737
"200","804_4",0.949,0.726,1.834,15.29,1.368
"201","804_5",0.047,0.497,1.032,14.076,0.513
"202","804_6",-0.996,-1.223,1.949,3.325,2.445
"203","805_1",0.126,0.076,0,11.335,0.006
"204","805_2",-0.111,0.363,0.516,13.28,0.198
"205","805_3",-0.016,-0.439,0.516,8.061,0.26
"206","805_4",-0.016,-0.439,0.057,8.126,0.194
"207","805_5",-0.111,0.363,0.057,13.346,0.133
"208","805_6",0.126,0.076,0.573,11.253,0.088
"209","806_1",-1.518,-2.121,0.459,1.315,4.551
"210","806_2",-0.221,-0.096,1.88,9.323,0.893
"211","806_3",-0.506,0.057,0.138,11.202,0.008
"212","806_4",2.245,2.159,2.201,28.485,5.873
"213","806_5",0.601,0.936,0.275,17.845,0.896
"214","806_6",1.834,1.777,0.825,25.507,3.328
"215","806_7",-0.917,-0.592,1.009,7.025,0.605
"216","806_8",-0.19,-0.554,3.256,4.836,2.957
"217","806_9",-0.19,-0.287,1.101,8.719,0.385
"218","806_10",-1.138,-1.28,2.293,2.726,2.953
"219","807_1",0.835,0.694,1.567,15.258,1.095
"220","807_2",0.266,-0.023,2.675,8.887,1.789
"221","807_3",0.218,0.436,0.076,13.881,0.191
"222","807_4",-1.513,-1.857,0.382,2.017,3.486
"223","807_5",0.194,0.751,0.803,16.17,0.725
"224","807_6",0.36,-0.281,0.803,8.896,0.24
"225","807_7",0.123,-0.51,2.025,6.704,1.286
"226","807_8",-1.134,0.636,0.191,15.409,0.414
"227","807_9",-0.185,-0.539,1.452,7.043,0.818
"228","807_10",-1.679,-0.539,2.446,6.075,1.786
"229","807_11",0.574,0.149,0.306,11.806,0.046
"230","807_12",0.479,0.694,0.268,15.853,0.499
"231","807_13",1.949,1.295,1.834,20.188,2.519
"232","807_14",-0.612,-0.682,1.338,6.355,0.913
"233","807_15",0.123,-0.224,0.955,9.177,0.278
"234","808_1",1.992,2.159,1.697,28.976,5.382
"235","808_2",-1.676,-1.242,0.642,4.093,1.646
"236","808_3",-0.253,-1.357,2.155,2.578,3.002
"237","808_4",-0.063,0.439,0.183,13.903,0.202
"238","808_5",-0.727,-0.057,0.596,10.363,0.092
"239","808_6",-0.822,-0.86,4.861,0,6.646
"240","808_7",-0.443,-1.242,2.568,2.547,3.191
"241","808_8",1.486,1.357,2.109,20.481,2.953
"242","808_9",0.917,-0.057,2.155,9.291,1.165
"243","808_10",-0.411,0.86,0.596,17.135,0.828
"244","830_1",-0.016,-0.153,0.825,9.673,0.194
"245","830_2",0.3,0.153,1.009,11.601,0.278
"246","830_3",-0.332,-0.344,0.596,8.592,0.207
"247","830_4",0.047,0.344,1.238,12.824,0.502
"248","830_5",0.3,0.803,2.247,15.489,1.906
"249","830_6",-0.142,-0.268,0.504,9.074,0.135
"250","830_7",-0.142,-0.382,0.917,8.247,0.356
"251","830_8",-0.111,-0.191,1.605,8.961,0.681
"252","830_9",-0.49,-0.764,1.651,5.699,1.265
"253","830_10",0.585,0.803,0.504,16.687,0.708
"254","871_1",0.111,0.497,0.413,14.299,0.289
"255","871_2",1.091,0.994,0.55,18.276,1.063
"256","871_3",-0.617,-0.344,0.229,8.668,0.131
"257","871_4",-0.585,-1.146,1.192,4.241,1.67
"258","871_5",-1.217,-1.338,2.614,2.105,3.497
"259","871_6",-0.743,-0.955,1.88,4.568,1.796
"260","871_7",1.85,1.796,1.146,25.543,3.555
"261","871_8",1.375,1.146,3.302,16.959,4.04
"262","871_9",-1.249,-0.803,1.238,5.806,1.027
"263","871_10",-0.016,0.153,1.192,11.5,0.379
