"","Dyad","Intimacy Mean.di","Listening Mean.di","Listening Delta.di","Listening Product.di","Listening SquaresMean.di"
"1","100_1",-0.206,0.096,0.046,11.463,0.01
"2","100_2",0.806,0.592,1.009,14.82,0.605
"3","100_3",-1.186,-1.471,1.467,2.77,2.703
"4","100_4",0.585,0.783,0.413,16.552,0.656
"5","100_5",-0.458,-0.592,0.504,7.215,0.414
"6","100_6",0.3,0.554,1.055,14.501,0.585
"7","100_7",0.364,-0.057,0.596,10.363,0.092
"8","100_8",0.743,0.822,0.183,16.899,0.683
"9","100_9",-1.091,-0.822,1.697,5.375,1.395
"10","100_10",0.142,0.096,2.706,9.634,1.839
"11","201_1",1.707,0.573,0.138,14.922,0.333
"12","201_2",-0.253,0.115,0.138,11.589,0.018
"13","201_3",-1.36,-1.07,0.092,4.928,1.147
"14","201_4",-0.095,0.382,0.367,13.453,0.18
"15","201_5",-0.917,-0.229,0.917,9.159,0.263
"16","201_6",0.063,0.076,0.734,11.2,0.14
"17","201_7",-0.854,-0.42,0.046,8.236,0.177
"18","201_8",0.759,0.535,0.642,14.53,0.389
"19","201_9",0.411,-0.42,0.413,8.194,0.219
"20","201_10",0.538,0.459,0,14.054,0.21
"21","280_1",0.3,0.057,1.777,10.417,0.793
"22","280_2",-0.364,-0.057,2.006,9.446,1.01
"23","280_3",0.063,0,0.229,10.813,0.013
"24","280_4",0.063,0,1.032,10.56,0.266
"25","280_5",-0.364,-0.057,0.745,10.313,0.142
"26","280_6",0.3,0.057,0.974,10.969,0.241
"27","281_1",0.664,1.261,0.871,20.525,1.78
"28","281_2",-1.17,-1.414,0.413,3.478,2.042
"29","281_3",1.043,0.726,1.697,15.411,1.247
"30","281_4",-0.538,-0.573,0.413,7.34,0.371
"31","281_5",0.949,0.917,0,17.703,0.841
"32","281_6",-1.96,-1.414,0.046,3.52,2
"33","281_7",0.348,-0.764,0.917,6.17,0.794
"34","281_8",0.474,-0.076,1.101,10.026,0.309
"35","281_9",-0.253,0.573,0.688,14.808,0.447
"36","281_10",0.443,0.764,0.642,16.337,0.687
"37","285_1",0.869,1.643,0.344,24.31,2.73
"38","285_2",0.016,-0.42,1.605,7.592,0.821
"39","285_3",-0.885,-1.223,1.949,3.325,2.445
"40","285_4",-0.885,-1.223,1.032,4.008,1.762
"41","285_5",0.016,-0.42,0.688,8.118,0.295
"42","285_6",0.869,1.643,2.637,22.601,4.438
"43","301_1",1.281,1.529,0.046,23.221,2.337
"44","301_2",-1.122,-1.414,0.734,3.386,2.134
"45","301_3",-1.66,-0.65,0.55,6.897,0.498
"46","301_4",1.502,0.535,0.229,14.62,0.299
"47","301_5",-1.249,-1.07,0.229,4.916,1.158
"48","301_6",0.964,0.497,0.367,14.308,0.28
"49","301_7",-0.996,-0.955,0.183,5.443,0.921
"50","301_8",1.786,1.108,2.385,17.925,2.65
"51","301_9",0.585,1.376,1.422,21.266,2.398
"52","301_10",-1.091,-0.955,1.467,4.913,1.451
"53","308_1",1.597,0.726,1.376,15.658,1
"54","308_2",-0.443,0.268,0.803,12.497,0.233
"55","308_3",-1.154,-0.994,0.573,5.193,1.069
"56","308_4",-1.154,-0.994,1.261,4.877,1.385
"57","308_5",-0.443,0.268,0.115,12.655,0.075
"58","308_6",1.597,0.726,0.459,16.079,0.58
"59","310_1",0.269,0.057,1.777,10.417,0.793
"60","310_2",0.032,0.287,1.089,12.498,0.379
"61","310_3",-0.3,-0.344,0.688,8.563,0.237
"62","310_4",-0.3,-0.344,1.72,7.942,0.858
"63","310_5",0.032,0.287,0.057,12.793,0.083
"64","310_6",0.269,0.057,0.631,11.107,0.103
"65","315_1",0.743,0.497,0.573,14.26,0.329
"66","315_2",-1.391,-1.509,2.006,2.165,3.285
"67","315_3",0.648,1.013,1.433,18.002,1.539
"68","315_4",0.648,1.013,1.777,17.726,1.815
"69","315_5",-1.391,-1.509,1.204,2.809,2.641
"70","315_6",0.743,0.497,0.229,14.329,0.26
"71","500_1",0.98,0.191,1.49,11.565,0.592
"72","500_2",-1.059,-0.783,0.287,6.264,0.634
"73","500_3",0.079,0.592,1.204,14.712,0.713
"74","500_4",0.079,0.592,1.433,14.561,0.864
"75","500_5",-1.059,-0.783,0.057,6.284,0.615
"76","500_6",0.98,0.191,1.146,11.791,0.365
"77","601_1",-0.221,-0.229,1.146,9.041,0.381
"78","601_2",0.206,0.287,0.745,12.655,0.221
"79","601_3",0.016,-0.057,1.892,9.557,0.898
"80","601_4",0.016,-0.057,0.516,10.385,0.07
"81","601_5",0.206,0.287,0.631,12.695,0.182
"82","601_6",-0.221,-0.229,1.261,8.972,0.45
"83","602_1",1.66,1.777,0.974,25.44,3.395
"84","602_2",-0.522,-0.974,0.745,5.224,1.088
"85","602_3",-1.138,-0.803,0.229,6.176,0.657
"86","602_4",-1.138,-0.803,0.115,6.186,0.647
"87","602_5",-0.522,-0.974,1.089,5.066,1.246
"88","602_6",1.66,1.777,0.86,25.492,3.342
"89","603_1",-0.174,0.229,0.504,12.324,0.116
"90","603_2",1.122,0.191,1.009,11.865,0.291
"91","603_3",0.079,-0.153,0.78,9.691,0.175
"92","603_4",-1.028,-0.268,0.734,9.003,0.206
"93","603_5",-0.68,-0.076,0.413,10.286,0.048
"94","603_6",-0.68,0.038,0.55,11.003,0.077
"95","603_7",1.533,-0.191,0.367,9.571,0.07
"96","603_8",0.332,-0.229,0.413,9.327,0.095
"97","603_9",-0.775,0.115,1.009,11.339,0.268
