"","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","group.id","Actor.id","A_L_1","A_L_2","A_L_3","A_L_4","B_L_1","B_L_2","B_L_3","B_L_4","C_L_1","C_L_2","C_L_3","C_L_4","D_L_1","D_L_2","D_L_3","D_L_4","A_I_1","A_I_2","A_I_3","B_I_1","B_I_2","B_I_3","C_I_1","C_I_2","C_I_3","D_I_1","D_I_2","D_I_3","A_S_1","A_S_2","A_S_3","B_S_1","B_S_2","B_S_3","C_S_1","C_S_2","C_S_3","D_S_1","D_S_2","D_S_3","A_H_1","A_H_2","A_H_3","B_H_1","B_H_2","B_H_3","C_H_1","C_H_2","C_H_3","D_H_1","D_H_2","D_H_3","Gender"
"51","","","31.779998779297","35.229995727539","anonymous","HE","602","4","7","7","6","4","8","7","4","4","8","9","9","9","","","","","6","5","6","7","6","6","10","11","11","","","","10","8","8","10","8","9","10","10","11","","","","8","8","8","8","8","8","10","8","6","","","","1"
"52","","","31.779998779297","35.229995727539","anonymous","HE","602","1","","","","","9","8","9","10","4","4","4","4","2","1","2","4","","","","8","9","10","6","5","5","3","2","3","","","","7","5","7","9","7","9","10","9","8","","","","10","9","7","10","10","10","8","4","4","1"
"53","","","31.5","34.75","anonymous","HE","602","2","10","10","10","9","","","","","8","6","6","8","5","4","7","5","10","10","10","","","","6","5","7","5","6","7","8","8","8","","","","8","8","9","8","9","6","10","10","10","","","","7","8","6","6","9","6","1"
"54","","","31.779998779297","35.229995727539","anonymous","HE","602","3","9","9","9","8","10","9","9","9","","","","","9","9","7","8","11","11","11","11","11","11","","","","11","11","11","10","11","10","10","9","10","","","","11","11","10","11","10","10","11","11","9","","","","11","10","10","1"
"55","","","31.779998779297","35.229995727539","anonymous","HE","804","3","9","4","9","4","9","4","9","3","","","","","4","2","2","2","10","10","10","10","10","10","","","","1","1","1","11","11","11","11","11","11","","","","6","6","6","11","11","6","11","11","6","","","","6","6","1","1"
"56","","","31.779998779297","35.229995727539","anonymous","HE","804","4","7","7","4","7","4","5","5","4","","","","","","","","","9","6","6","6","6","6","8","6","6","","","","11","11","10","11","11","11","11","11","9","","","","9","9","9","9","9","9","9","9","9","","","","1"
"57","","","31.5","34.75","qr","HE","310","4","6","7","8","9","5","5","4","8","6","7","9","7","","","","","8","9","8","6","5","6","9","10","8","","","","8","9","8","8","8","8","10","8","9","","","","8","9","9","8","8","7","9","10","10","","","","1"
"58","","","32.066696166992","34.766693115234","qr","HE","310","3","9","10","10","10","7","4","4","6","","","","","8","8","8","9","10","11","11","7","10","11","","","","11","11","11","11","10","8","8","11","11","","","","11","11","11","11","11","11","11","11","9","","","","11","11","8","1"
"59","","","31.779998779297","35.229995727539","anonymous","HE","310","1","","","","","9","9","9","9","10","10","10","10","8","8","9","9","","","","9","8","6","11","11","11","7","6","9","","","","11","11","11","11","11","11","11","9","9","","","","10","11","11","11","11","11","10","11","11","1"
"60","","","32.080596923828","34.814193725586","anonymous","HE","604","3","9","8","8","4","9","6","4","4","","","","","9","8","9","9","4","4","7","7","4","7","","","","8","8","9","9","9","9","10","9","11","","","","9","9","10","8","5","4","9","6","4","","","","9","4","4","2"
