"","a.id","Hum_rel.AB","Creat_rel.AB","Contr_rel.AB","Safety_rel.AB","NonTalk_rel.AB","Shy_rel.AB","Hum_rel.BA","Creat_rel.BA","Contr_rel.BA","Safety_rel.BA","NonTalk_rel.BA","Shy_rel.BA"
"91","799:4",0.604,0.569,0.016,0.118,3.224,4.318,0.065,0.139,0.141,0.087,0.224,0.193
"92","801:1",0.402,0.411,0.843,0.106,1.141,12.502,0.355,0.345,0.21,1.262,1.496,2.724
"93","801:2",0.19,0.547,0.799,0.614,1.585,2.546,0.221,0.634,0.165,0.069,0.696,0.502
"94","801:3",0.321,0.141,0.128,0.551,0.385,4.828,0.046,0.263,1.095,0.795,0.607,4.117
"95","801:4",0.318,0.161,0.165,1.269,0.252,0.161,0.424,0.317,0.232,0.314,1.452,12.25
"96","801:5",0.077,0.534,0.21,0.04,1.081,3.435,0.263,0.236,0.443,0.14,0.193,3.88
"97","805:1",1.349,1.005,0.083,1,0.224,0.297,0.974,0.716,1.083,0.25,0.099,1.047
"98","805:2",1.073,0.636,1.083,0.25,1.13,2.297,1.269,1.12,0.083,1,0.13,0.047
"99","805:3",1.302,1.169,0.583,1,0.38,1.141,0.177,0.646,0.583,0.25,0.88,1.516
"100","805:4",0.144,0.745,0.333,0.25,0.224,0.891,1.448,1.073,0.333,1,0.849,2.016
"101","814:1",0.112,2.954,0.074,1.286,1.724,1.568,1.494,1.423,1.48,1.161,0.474,1.568
"102","814:2",0.182,1.423,1.27,0.13,0.193,1.161,1.549,2.954,0.082,2.88,3.318,1.286
"103","814:3",1.891,7.165,1.98,2.911,3.318,4.568,0.016,0.822,0.074,0.036,0.193,0.068
"104","814:4",1.016,0.822,0.145,0.88,0.474,0.161,0.141,7.165,1.832,1.13,1.724,4.536
"105","815:1",1.836,0.016,0.146,2.441,0.484,1.521,1.305,0.055,0.146,0.098,0.984,4.521
"106","815:2",0.772,0.034,0.021,0.293,0.484,3.646,2.217,0.034,0.521,1.855,0.484,1.646
"107","815:3",0.102,0.055,0.146,0.879,0.953,3.521,0.289,0.016,0.146,0.098,0.328,0.521
"108","815:4",1.787,0.034,0.521,0.293,0.203,0.146,0.686,0.034,0.021,1.855,0.328,2.146
"109","817:1",0.401,1.409,0.636,0.276,2.946,2.255,1.826,3.831,0.525,1.531,7.924,1.366
"110","817:2",0.692,0.222,0.096,0.42,0.902,7.144,0.359,0.325,0.296,0.331,4.902,3.233
"111","817:3",1.859,2.922,0.496,0.909,0.546,4.329,0.151,1.427,0.162,0.276,3.169,3.662
"112","817:4",0.234,2.475,0.181,0.709,12.472,2.61,0.384,0.422,0.259,0.043,0.072,7.944
"113","817:5",0.126,0.965,0.414,0.42,1.939,3.262,0.592,1.987,0.581,0.554,2.739,3.396
"114","889:1",0.043,1.635,0.337,0.13,0.203,1.453,0.91,0.643,1.368,1.63,0.328,0.578
"115","889:2",1.035,0.618,0.548,0.693,0.328,0.672,0.106,1.68,0.173,0.693,0.203,1.422
"116","889:3",1.33,0.93,1.368,0.693,0.047,0.328,0.034,0.118,0.337,0.693,0.297,0.203
"117","889:4",0.057,0.08,0.173,1.63,0.297,0.422,1.416,0.823,0.548,0.13,0.047,0.672
"118","890:1",5.31,2.439,0.368,0.22,2.224,2.099,1.497,0.939,0.118,1.064,1.474,2.849
"119","890:2",2.903,1.197,0.025,1.15,1.005,2.443,0.716,2.072,0.525,0.337,1.13,3.318
"120","890:3",2.815,1.915,0.47,1.743,0.38,2.849,4.026,1.54,0.064,0.056,0.255,2.099
"121","890:4",0.276,1.251,0.126,0.126,1.349,3.318,5.065,2.251,0.283,1.783,2.099,2.443
"122","980:1",0.129,1.337,0.074,0.195,0.578,0.083,1.246,0.165,0.824,0.975,0.203,1.083
"123","980:2",1.246,0.431,0.941,0.975,0.203,1.583,0.129,1.103,0.035,0.195,0.578,0.583
"124","980:3",0.205,0.322,0.004,0.996,0.422,0.583,0.205,1.025,0.785,0.231,0.672,1.583
"125","980:4",0.51,0.634,0.637,0.231,0.672,1.083,0.51,0.431,0.012,0.996,0.422,0.083
"126","981:1",0.075,0.099,0.457,0.337,0.943,0.724,0.41,1.786,0.145,4.243,0.193,0.224
"127","981:2",0.112,1.474,0.074,2.525,0.099,0.068,0.69,4.786,0.355,0.493,0.474,0.693
"128","981:3",0.588,3.661,0.855,0.283,0.474,0.693,0.198,0.849,0.074,1.658,0.099,0.068
"129","981:4",0.567,3.661,0.082,3.845,0.193,0.224,0.043,1.474,0.895,0.595,0.943,0.724
"130","995:1",0.073,0.069,6.691,0.316,1.396,0.984,0.042,0.436,0.035,1.316,0.396,2.859
"131","995:2",0.622,0.795,3.285,1.293,0.771,0.328,0.224,0.241,0.941,0.262,0.271,1.828
"132","995:3",0.13,1.02,0.027,0.223,0.396,2.453,0.653,0.754,6.59,0.473,1.396,0.953
"133","995:4",0.417,0.723,1.09,0.574,0.271,2.359,0.323,1.176,3.527,0.355,0.771,0.484
